id;Name_User;Date_Comment;Type_Comment;Number_Likes;Text;Hashtag;Language;Reaction
41;Kiara Maria Lopez Jorge;2018-11-10T13:52:00.000Z;Reply to Marvin and Andrea;0;Marvin and Andrea qsm;null;en;neutral
42;Phúc Trần;2018-10-20T13:59:43.000Z;Comment;0;AM I THE ONLY VIETNAMESE HERE?;null;en;neutral
43;Guadalupe Lucio;2018-10-19T01:52:01.000Z;Comment;0;Sebastian I just love this song. Amazing & So Sweet.;null;en;positive
44;Roxana Alvares;2018-10-18T22:39:14.000Z;Comment;0;THIAGO PALACIO. 353.;null;en;neutral
45;Predrag Serdar;2018-10-18T19:02:31.000Z;Comment;0;Yesss i found this song!!!Finally;null;en;positive
46;marta nidia marin bueno;2018-11-06T20:21:42.000Z;Reply to LAS AMIGUIS Meclazcke;0;Th;null;en;neutral
47;Ben Bule;2018-10-18T02:55:20.000Z;Comment;0;I am from Indonesian.... I like this song  .... 😊;null;en;positive
48;Ben Bule;2018-10-18T09:31:18.000Z;Reply to Ben Bule;0;+Rodrigo Da cortez ... hello... that's nice. From which city ?;null;en;positive
49;Rodrigo Da cortez;2018-10-18T08:16:50.000Z;Reply to Ben Bule;1;hello bro my mother is indonesian;null;en;positive
50;Dolmii Dee;2018-10-17T06:59:50.000Z;Comment;0;feels me with love...i can't wait to share this love with my someone one day <3;null;en;positive
51;Anahí Hermosa;2018-10-15T10:51:26.000Z;Comment;0;Cancion fea;null;en;negative
52;Beatriz Salado;2018-10-13T06:52:49.000Z;Comment;1;I love this song sososososososo much;null;en;positive
53;Yakup Bahceci;2018-10-12T08:08:55.000Z;Comment;3;That guy voice is amazing he’s little bit old and long hair amazing music love it.;null;en;positive
54;Dolores Reyes;2018-10-10T21:03:23.000Z;Comment;0;Hermosa cancion 😂😂😂😂;null;en;positive
55;Dulce Lugo;2018-10-10T01:23:19.000Z;Comment;0;Amp the song;null;en;neutral
56;a si;2018-10-09T04:07:06.000Z;Comment;0;Am I the only English comment here?;null;en;neutral
57;Richard Bendezu;2018-10-08T22:25:48.000Z;Comment;0;Anuel;null;en;neutral
58;Asib Ahamed;2018-10-07T08:52:57.000Z;Comment;2;I don't know anything about this language but I just love Carlos vives😍😍;null;en;positive
59;Jasmin Hahaha;2018-10-28T22:31:18.000Z;Reply to Anderson;0;Anderson yo💓;null;en;positive
60;Rahulsankun;2018-10-04T22:56:14.000Z;Comment;4;I m an Indian n I don't know the language but still I love this songs n video;null;en;positive
61;Sole XD;2018-10-18T20:43:16.000Z;Reply to Rahulsankun;0;Buddy, this song is romantic, for example say: i know what you feel butterflies;null;en
62;Angel Domingo;2018-10-03T23:47:53.000Z;Comment;0;Wow I like it,is it real in the life;null;en;positive
63;NYCTalking;2018-10-03T15:03:40.000Z;Comment;0;This moved me to tears, such a beautiful song and video. Me hico llorar este tema.;null;en;positive
64;Izakokomarixyz;2018-10-02T01:51:39.000Z;Reply to a si;0;"Let me steal a kiss from you that will reach my soul! Like a "Vallenato" (music genre) song, the old ones we liked! I know you feel butterflies, I've also felt their wings! Let me steal a kiss that will make you fall in love and never leave.";null;en;positive
65;Shadow Claw;2018-09-28T22:07:00.000Z;Comment;2;I like this song;null;en;positive
66;Alexandra Martinez;2018-09-28T21:23:03.000Z;Comment;1;Hermosa cancion 👏👏;null;en;positive
67;GHAZALI GHAZALI;2018-09-28T09:21:21.000Z;Comment;1;You are the best carlos;null;en;positive
68;Trường Nguyễn Văn;2018-09-28T00:23:42.000Z;Comment;2;OMG. This song will take place at my wedding.From Vietnam not vietcong;null;en;positive
69;Pierre Duong;2018-09-27T23:33:11.000Z;Comment;0;Our Spanish teacher played this in class;null;en;positive
70;Dist Aqua;2018-09-27T05:38:33.000Z;Comment;27;September 👌😁😁 This song is too good;null;en;positive
71;Joel HC;2018-09-25T12:03:42.000Z;Comment;0;Like the song but the video is pure cringe.;null;en;neutral
72;Octávio a.k.a. Deddyson Jordão de Araújo;2018-09-25T04:25:14.000Z;Comment;0;Carlos Vives is hanging out with young boys;null;en;negative
73;Izakokomarixyz;2018-10-02T02:01:18.000Z;Reply to Octávio a.k.a. Deddyson Jordão de Araújo;0;When you say it like that it's creepy.;null;en;negative
74;Zack Moore;2018-09-25T02:59:08.000Z;Comment;0;This is 🔥🔥🔥;null;en;positive
75;kit markussen;2018-09-22T21:29:15.000Z;Comment;0;Love this song <3;null;en;positive
76;InfiniteBlaze;2018-09-22T03:12:06.000Z;Comment;5;English subtitles: Andres hasn't said that he loves his mother since he was 12. Jorge and Rosa have been married 47 years but rarely eat together. Martin and Caro have dated for 3 years but Caro has never been sung a song. Mateo has had a crush on Juliana since the 3rd grade.;null;en;positive
77;David Benavides;2018-09-20T12:52:22.000Z;Comment;0;Love this song;null;en
78;Zoltán Lukovics;2018-09-20T06:39:46.000Z;Comment;0;for me and my wife is this song the wery nr. 1 thank you Carlos and Sebastian. Love from Slovakia;null;en
79;Gabriela Painebil;2018-09-19T17:28:40.000Z;Comment;1;To♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥;null;en;positive
80;MzR30 YT;2018-09-19T00:15:22.000Z;Comment;0;This is probably the only english comment in here even though it will drown in the comments;null;en;neutral
81;TheAirlineChick;2018-09-15T16:23:37.000Z;Comment;0;Anyone know where this video is taken place?;null;en;positive
82;CARLOS ENRIQUE DUEÑAS OLIVERA;2018-09-15T16:34:37.000Z;Reply to TheAirlineChick;0;i think in ecuador;null;en;positive
83;Enic Hanaire Correia da Silva Pessoa Pessoa;2018-09-11T21:23:43.000Z;Comment;0;Muito top;null;en;positive
84;HA CV;2018-09-18T19:56:13.000Z;Reply to Dilan Bernal;0;Khe berga;null;en;neutral
85;Lina Noreikaite;2018-09-10T16:10:09.000Z;Comment;0;beautiful song loved it .thank you;null;en;positive
86;Kiara van de Veen;2018-09-08T11:16:00.000Z;Comment;34;I don't understand this cause I'm from the Netherlands 🇳🇱 but this song is LIT!!! I 💖 IT! 😍😍😍😍😍💕💕💕💕💪💪💪🤙🤙💖💖💖💖;null;en;positive
87;Master Soccer;2018-09-14T16:53:02.000Z;Reply to Kiara van de Veen;0;The song lyrics is fyee af🔥 Btw,How you found this song ?;null;en;neutral
88;Kiara van de Veen;2018-09-13T17:28:29.000Z;Reply to Kiara van de Veen;0;+baddabessmoon thanks!!;null;en;positive
89;ezr9008vn9 Cursed;2018-09-07T12:44:56.000Z;Comment;1;What an amazing song and so many dislike....wtf? Idiots.;null;en;neutral
90;Layssa Moura;2018-09-06T00:38:59.000Z;Comment;1;Love the music of Carlos vives;null;en;positive
91;Kathy Jamaica;2018-09-05T03:14:28.000Z;Comment;0;I love this song ❤️;null;en;positive
92;Henry Riosanjuan;2018-09-04T21:43:22.000Z;Reply to Ivan Ogulinac;0;Ivan Ogulinac the music ils beautiful;null;en;positive
93;Mary-Anne Crawford;2018-08-31T12:48:56.000Z;Comment;0;I love this song and you Carlos <3 You both have amazing voices and this song always makes me smile when im down. Great job the pair of you <3;null;en;positive
94;Eli's Whatever i feel like doing;2018-08-30T20:19:18.000Z;Comment;0;Anyone else here like the song and only speak English?;null;en;positive
95;tinaaa xoxo;2018-08-28T02:27:33.000Z;Comment;6;Sebastian is so hott and talented. Im new to him. Love reggaeton music;null;en;positive
96;Stephanie Hernandez;2018-09-04T01:09:51.000Z;Reply to Anthony 21;0;Anahi;null;en;neutral
97;Daniela Pinelgglpjg;2018-08-26T16:44:25.000Z;Reply to Princesa raresa random;1;Topa;null;en;neutral
98;pamela ortega;2018-08-28T18:25:34.000Z;Reply to TheFransy100;1;TheFransy100 isaaseryi;null;en;neutral
99;Monica Hernández;2018-08-25T16:56:51.000Z;Reply to TheFransy100;1;TheFransy100  hl;null;en;neutral
100;Jess W;2018-08-20T18:11:31.000Z;Comment;0;Jesus is Lord Jesus is the son of God Matthew 3:2 KJV “And saying, Repent ye: for the kingdom of heaven is at hand.”;null;en;neutral
101;Thomas Pleinss;2018-08-20T17:09:53.000Z;Comment;0;Was going with the day;null;en;neutral
102;saifeddine benmezouara;2018-08-18T18:39:26.000Z;Comment;0;i lovve it 😍😘, love you soo muche ❤;null;en;positive
103;music lover;2018-08-17T04:52:33.000Z;Comment;9;Anyone please knows what brand is the denim  jacket that Yatra is wearing in this video?;null;en;positive
104;music lover;2018-08-20T10:44:52.000Z;Reply to music lover;0;Y.O lml thank you! I hope some can also confirm with more details, It’s a surprise for friend it would mean so much if I could find it;null;en;positive
105;Michael Flores;2018-08-12T01:50:56.000Z;Comment;3;I like this song i cry;null;en;positive
106;Rodal Castanon;2018-08-07T03:34:13.000Z;Comment;0;I love this song i'm Cristian but i like this song;null;en;positive
107;Annazz Tube;2018-08-06T19:03:14.000Z;Comment;1;This song was posted on my parents anniversary 😭💕;null;en
108;Marie Yap;2018-08-05T14:35:20.000Z;Comment;1;I have no clue what they are singing about but it sure sounds damn Good!!  🤗🤗🤗🤗😙😙 love it;null;en;positive
109;ปัทญา เทียนแก้ว;2018-08-04T11:28:31.000Z;Comment;0;I love the song;null;en;positive
110;ClashMEN;2018-08-03T18:48:26.000Z;Comment;10;I Love Music the Sebastián Yatra😍;null;en;positive
111;Gutiera Audeska;2018-08-01T19:33:13.000Z;Comment;13;isn't​ he one of the judges on the Spanish voice thingy;null;en;neutral
112;deepali d;2018-07-31T04:09:51.000Z;Comment;3;Any indian here ❤️;null;en;positive
113;Proxima Centauri;2018-07-30T14:51:21.000Z;Comment;0;What’s the beautiful, sexy boy’s name with the equally sexy (I’m in love with you) voice?;null;en;positive
114;Proxima Centauri;2018-07-30T05:57:16.000Z;Comment;1;Who is the tall,  lean (sexy) boi with the sexy voice?;null;en;positive
115;afik3248;2018-07-29T19:54:53.000Z;Comment;0;The next despacito!!;null;en;positive
116;Ady Chavez;2018-07-29T19:16:36.000Z;Comment;0;I love this song😣🤞;null;en;positive
117;Jeimy Riascos;2018-07-29T18:45:46.000Z;Comment;0;I love to music;null;en;positive
118;silent night;2018-07-29T07:29:14.000Z;Comment;0;Beautiful song I love this song 😍😍😍😍;null;en;positive
119;silent night;2018-07-29T07:29:14.000Z;Comment;0;Beautiful song I love this song 😍😍😍😍;null;en;positive
120;Irmaliz Torres-Velez;2018-07-29T00:49:33.000Z;Comment;0;I love this song ❤;null;en;positive
121;sarada Uchiha97;2018-07-29T00:04:31.000Z;Comment;2;I love this song <3;null;en;positive
122;മണവാളൻ and sons;2018-07-28T04:17:14.000Z;Comment;1;One year for this song today(july28) like if u watch today😍;null;en;positive
123;Magdalena Maris;2018-07-22T05:38:38.000Z;Comment;0;One of the most beautiful vodeoclip that I ever saw...amazing...congrats....;null;en;positive
124;Jen Lai;2018-07-21T22:10:29.000Z;Comment;0;I love this song!😙;null;en;positive
125;Maria Isabel Franco;2018-08-05T05:59:36.000Z;Reply to Brayan Mariño;0;😍 the;null;en;positive
126;Krisfifty27;2018-07-21T06:19:18.000Z;Comment;0;It's about my parents. They were together for 70 years :)I love this song. It's wonderful.;null;en;positive
127;Jensy Hernandez;2018-07-21T05:15:17.000Z;Comment;168;I love the song;null;en;positive
128;Lomkima Hmar;2018-07-20T09:49:55.000Z;Comment;0;i don't have idea what's the song about.. but ilove the video;null;en;positive
129;Lil Blizzy;2018-07-21T04:41:25.000Z;Reply to Lil Blizzy;0;Worda everything on gd;null;en;neutral
130;valen cia;2018-07-18T05:16:05.000Z;Comment;31;The first time i heard this song .. i can't stop listening. Beautiful song and video...;null;en;positive
131;Manuela Duran;2018-08-04T03:14:30.000Z;Reply to valen cia;1;I LO VE This song it macks me cry😍🤣😋;null;en;positive
132;Axrty;2018-07-18T01:22:22.000Z;Comment;11;This is a really good song.;null;en;positive
133;Justa Silvia Mayora;2018-07-16T22:03:42.000Z;Comment;0;sing to me;null;en;positive
134;Andrzej Czarnecki;2018-07-16T20:56:39.000Z;Comment;0;Great pace. Congratulations. Regards. Sound studio in Poland. Andrew. - Multifonika.Net;null;en;positive
135;dra Hernandez Oyarzun;2018-07-28T16:24:33.000Z;Reply to Jason Alejandro Monroy Rueda;0;😍😍😍😍😍😍   thiare  carcamo;null;en;neutral
136;Gurwinder Kumar;2018-07-14T18:42:11.000Z;Comment;0;Omg the location 😍😍😍😍so nice song 🔥🔥🔥🔥🔥❤❤💖💖💖💖👍👍👍👍🇮🇳🇮🇳🇮🇳🇮🇳;null;en;positive
137;LostHello;2018-07-13T11:35:49.000Z;Comment;0;I just can't stop replaying this song! Help!;null;en;joke
138;VALENTINA RESTREPO GOMEZ;2018-07-13T01:44:31.000Z;Reply to Jitzabel Rodriguez;0;total;null;en;joke
139;mands 05;2018-07-11T23:38:50.000Z;Comment;15;I love this song. Greetings from Brazil!;null;en;positive
140;A GDragon stan VIP88;2018-07-11T14:45:22.000Z;Comment;0;I dnt even who is who n didnt understand what they are singing . But their voices are so beautiful n so in love with the song ❤❤❤❤;null;en;positive
141;hannasoleil2004;2018-07-10T11:48:33.000Z;Comment;0;There is love😍;null;en;positive
142;Jordan Rose;2018-07-08T18:57:01.000Z;Comment;0;leave me to steal a kiss to get to my soul! like the oldies we used to like;null;en;positive
143;WAJAH JAKARTA;2018-07-08T13:23:20.000Z;Comment;98;VERY RIGHT IN HEARING, I ALWAYS SAY THIS SONG EVERY SECOND AGAIN HIGHLY READ THANK YOU( PERFECT AGAIN 2019) 2019;null;en;positive
144;Iris McMahan;2018-07-05T20:59:58.000Z;Comment;0;Love this song!! Yay!;null;en;positive
145;Browndez Hanse;2018-07-05T17:36:28.000Z;Comment;0;Top music keep up with the good work;null;en;positive
146;Solution Master;2018-07-04T05:42:52.000Z;Comment;0;Oh ! I love this song very much...............;null;en;positive
147;the future infotech;2018-07-03T02:05:33.000Z;Comment;167;I love this singer;null;en;positive
148;Jensy Hernandez;2018-07-21T05:14:46.000Z;Reply to the future infotech;0;Y love the song;null;en;positive
149;Lil Blizzy;2018-07-20T07:53:42.000Z;Reply to Manoj Bhuyan;2;White people stop listening to this go back to ya country music;null;en;negative
150;Maja olkun;2018-07-03T08:58:55.000Z;Reply to Maja olkun;1;And smile at the same time ❤️;null;en;positive
151;Daniela Paz Castro;2018-07-18T19:23:36.000Z;Reply to JuliXツ;0;what;null;en;neutral
152;Maritza hernandez;2018-07-01T00:14:41.000Z;Comment;0;Just an English comment going round;null;en;neutral
153;Valeria Cruz Calle;2018-07-16T23:49:38.000Z;Reply to Codigo Mundial;0;The Pex;null;en;neutral
154;Jose A. Alpízar C.;2018-07-08T08:03:22.000Z;Reply to Himanshi Verma;1;Himanshi Verma the chorus is "Let me steal a kiss from you so it gets to my soul -  like one of those old Vallenatos we use to like - I know you're feeling butterflies I also felt their wings - let me steal a kiss from you, to make you felt in love and you'll never get to leave"... Hopefully that makes sense!;null;en;positive
155;Leon Winkel;2018-06-23T17:17:26.000Z;Comment;0;I Love this Song;null;en;positive
156;Cristal Villaseñor;2018-06-22T23:26:30.000Z;Comment;0;I love this song it is my top favorito😊😊;null;en;positive
157;Angie PlayzGamez;2018-06-21T16:27:50.000Z;Comment;0;Nice and awesome;null;en;positive
158;Jessics Ochoa;2018-07-07T16:25:01.000Z;Reply to Mari Albert Martz Rui;0;I Love this;null;en;positive
159;Zoltán Lukovics;2018-06-19T15:27:12.000Z;Comment;18;i send this song to my wife. She told me that was the best song of all. I love. GGGGreat un beso from Slovakia.;null;en;positive
160;elletraflores;2018-06-16T22:53:27.000Z;Comment;0;love that happy beat and their smiles!💖💖;null;en;positive
161;Maria Garay;2018-06-14T02:25:24.000Z;Comment;0;love the song!!!!!!!!!!!!!!!!;null;en;positive
162;Fabio Carvalho;2018-06-12T01:22:04.000Z;Comment;1;I would give 10,000 likes to this music video if I could... It's Wonderful;null;en;positive
163;Javier Rubiño;2018-06-08T13:53:31.000Z;Comment;0;Oficial 👮🏻‍♂️;null;en;neutral
164;Mari lyn;2018-05-31T23:11:24.000Z;Comment;1;Hermosa cancion ♡;null;en;positive
165;Ice Wizard;2018-05-30T22:24:21.000Z;Comment;0;Carlos Vives is the best !;null;en;positive
166;Veronica Radauta;2018-05-23T05:12:04.000Z;Comment;1;Carlos y Sebastián The Best!!!🤗🤗🤗;null;en;positive
167;Sara Trujllo;2018-07-13T20:49:43.000Z;Reply to Nubia Nicole Reyes Robles;0;Tonta;null;en;negative
168;MIHA ELA;2018-05-20T21:23:33.000Z;Comment;8;Love this song!💚❤💙;null;en;positive
169;BENITOHERNANDEZ75;2018-05-20T04:55:30.000Z;Comment;14;First time ever hearing this. I’m behind.;null;en;positive
170;Xochitl Del castillo;2018-05-18T18:09:26.000Z;Comment;0;I LOVE THIS SONG;null;en;positive
171;Smile Smile;2018-05-16T02:49:22.000Z;Comment;0;I like this song ❤;null;en;positive
172;Reggy;2018-05-15T23:13:56.000Z;Comment;0;Love this song so much <3;null;en;positive
173;Aysha Chowdhury;2018-05-15T15:22:44.000Z;Comment;1;what a song!!!! I am the most visitor for this song, Thanks for gift;null;en;positive
174;brilly Alvarez londoño;2018-05-14T23:40:52.000Z;Comment;0;Whew;null;en;neutral
175;Isabel Rodriguez;2018-05-21T23:03:48.000Z;Reply to CrazyDRaKe;1;CrazyDRaKe  very much for the information and forgive me to;null;en;neutral
176;Juan Manuel Jimenez Velasquez;2018-05-08T03:09:16.000Z;Comment;0;Andrea😍😍;null;en;neutral
177;David Sotomayor;2018-05-07T18:00:11.000Z;Comment;0;Hello your video  is romantic and  interesting, I like it!!;null;en;positive
178;El Trindade;2018-05-07T05:43:23.000Z;Comment;0;Me gusto.. and touched video;null;en;positive
179;Existe toto thiago;2018-05-05T10:25:44.000Z;Comment;2;Thiago 💜💛💚💜💛💚💜💛💚💚💛💜💚💚💛💜💚💛💜💚💛💜💚💛💜💚💛💜💚💛💜💚💛💜💚💛💜💜💜💜💜💚💚💚💛;null;en;neutral
180;Swastik Fadatre;2018-05-03T07:42:35.000Z;Comment;24;End less the best ever;null;en;negative
181;Carole Helmandollar;2018-05-01T22:20:14.000Z;Comment;0;yes that's all I need lol😉😘;null;en;joke
182;Existe toto thiago;2018-05-01T03:45:03.000Z;Comment;1;thiagonbvnji@😘😘😘😘😘💝💝;null;en;neutral
183;Diana Machuca;2018-04-26T15:51:14.000Z;Comment;0;i like there music;null;en;positive
184;Ofelia Pulido;2018-04-25T22:54:49.000Z;Comment;0;I like this;null;en;positive
185;Sylvanna Oliveri;2018-04-24T09:32:04.000Z;Comment;1;i love this song;null;en;positive
186;Grace IndigoEvents;2018-04-19T06:01:29.000Z;Comment;0;This song made me learn Spanish some how. Thank you  for creating great music :)  Grace from Canada :);null;en;positive
187;Weatherby;2018-04-17T02:28:43.000Z;Comment;0;This song really like El Amante;null;en;negative
188;Alf Hernandez;2018-04-15T23:10:36.000Z;Comment;1;Screenshot from your system immediately and destroy any printed copies of this communication in error and then you can get a new job in the other day that I can be found in the same time I was just thinking of you to the same as a result I will have the other day I am not a problem for the other side is U u ever think about this but it is not an intended only a couple weeks and it was just wondering what I have been working in a couple of weeks and I will be;null;en;negative
189;Alf Hernandez;2018-04-18T00:53:01.000Z;Reply to Alf Hernandez;0;The only thing is I 247😎😍;null;en;neutral
190;Sagar chandran;2018-04-29T15:28:44.000Z;Reply to Sagar chandran;0;this colombian song?;null;en;neutral
191;Jazelle Ortega;2018-04-13T00:34:59.000Z;Comment;0;Love this song;null;en;positive
192;Jada Hines;2018-04-12T02:22:56.000Z;Comment;0;i dont speak fluent spanish but this a bop;null;en;positive
193;Joseph Hervieux;2018-04-11T11:58:45.000Z;Comment;0;this is dedicated to mi amore;null;en;positive
194;Joseph Kelley;2018-04-10T23:44:11.000Z;Comment;0;who’s here because of the march madness bracket in spanish class?;null;en;negative
195;Angily Sánchez Castañeda;2018-04-06T22:17:48.000Z;Comment;0;Angily amor.😂😂😂💕😴;null;en;neutral
196;Angily Sánchez Castañeda;2018-04-06T22:01:46.000Z;Comment;0;Angily amor 😍;null;en;neutral
197;Ilham Pratt;2018-04-06T13:31:15.000Z;Comment;0;i'm Indonesian but i like this song, Dejame Robatre un Beso;null;en;positive
198;Humza Uddin;2018-04-06T11:45:03.000Z;Comment;0;the teenage girl is absolutely wifey <3;null;en;negative
199;Lovejoy411;2018-04-05T21:12:37.000Z;Comment;2;great music is when you dont understand the words but you know they're singing from the heart;null;en;positive
200;mis amigibud Iizarraga Cardona;2018-04-04T16:55:58.000Z;Comment;1;The amount vives;null;en;neutral
201;Mbili Tshiningayamwe;2018-04-03T13:55:18.000Z;Comment;0;please anyone to translate this song to English.;null;en;suggestion
202;Damian Jany;2018-04-03T11:21:24.000Z;Comment;0;Where is Sofia Reyes "1,2,3";null;en;negative
203;gsmenendez;2018-04-02T15:57:03.000Z;Comment;0;I just love this song!!!;null;en;positive
204;JD Collins;2018-03-29T21:05:41.000Z;Comment;18;I don’t know the lyrics but it’s great;null;en;positive
205;Spider Mercenary;2018-04-04T22:24:39.000Z;Reply to JD Collins;2;JD Collins I had to do listen to this song in Spanish class because of musical march we listened to alot of Spanish songs;null;en;joke
206;Kevin;2018-03-28T06:46:33.000Z;Comment;0;Horror fan? Check out 'Ash VS Evil Dead'. It's a horror/comedy staring Bruce Campbell, Lucy Lawless, Lee Majors etc. The first two seasons are up on Netflix with season 3 airing on Starz. It's one of the most original shows I've seen in years and it's on the bubble as not a lot of people are even aware that it exists.;null;en;suggestion
207;Daniela Martinez;2018-03-27T04:32:01.000Z;Comment;0;This is actually so good!;null;en;positive
208;adriana morenoduplan;2018-03-26T21:13:52.000Z;Comment;0;This is one of the best songs I've heard that I like the most about Carlos vives and sebastian yatra;null;en;positive
209;Adrian Gaming;2018-03-26T18:21:41.000Z;Comment;0;That song is good;null;en;positive
210;Jessica Loza;2018-03-24T18:50:16.000Z;Comment;0;Of//ja;null;en;neutral
211;Carina Villanueva;2018-03-26T14:55:14.000Z;Reply to freebax 01;0;is;null;en;neutral
212;The Sweet Potato Network;2018-03-24T01:05:23.000Z;Comment;0;My spanish teacher used this to teach. I still listen to it😂;null;en;positive
213;Nataleigh Ashleigh;2018-03-23T08:12:49.000Z;Comment;1;oh my God!!!! why all the people in this video clip got dimple cheek??? they are so beautiful!;null;en;positive
214;Mullapudi Pavan Teja;2018-03-20T13:15:49.000Z;Comment;0;What an awesome song... !! Love from India;null;en;positive
215;Gummy Bear;2018-03-19T20:01:21.000Z;Comment;0;Nobody in the comment section speaks English. lol;null;en;joke
216;Hugos Yuh;2018-03-19T08:03:55.000Z;Comment;0;give this man 1 billion views!!!;null;en;positive
217;renzo games;2018-03-25T20:52:58.000Z;Reply to kaira hernández;0;Ton;null;en;neutral
218;Jackie Mendez;2018-03-16T17:00:16.000Z;Comment;0;I LOVE THIS SONG😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍;null;en;positive
