id;Name_User;Date_Comment;Type_Comment;Number_Likes;Text;Hashtag;Language;Reaction
48;Evgeniy Raskolnjikov;2018-08-02T21:37:25.000Z;Comment;0;Out of all out-of-this-world beauties in Spain, you get this ho with fake tits to act in the video. David, joder hombre;null;en;negative
49;Cristina Rubi Garrido;2018-08-02T06:37:36.000Z;Comment;0;Tu tambien tiene AND A QUE RICO And the k to a Las ocho estaria contenta I don't know if you have 87th87 microphones and speakers at least a casa porque tq and moreno 66pm on 56th 887th87 archive 77th on 887th87 7th87 and moreno 66pm on 56th 887th87 archive 77th on 887th87 7th87 and moreno 66pm I think it à8 and moreno 66pm I think it à8 and moreno 66pm I think it à8 and moreno;null;en;joke
50;Joy Stans Legends Only Army;2018-07-27T08:33:15.000Z;Comment;2;I love this song ❤️;null;en;positive
51;michifu may miau;2018-07-25T02:08:20.000Z;Comment;2;this  song is beautiful;null;en;positive
52;Karim Younes;2018-07-24T08:57:51.000Z;Comment;1;Wow David this song is fuckin lit hermanito!!!!!!!!;null;en;positive
53;Pratik RJ;2018-07-21T20:00:58.000Z;Comment;0;The music from 00:17 to 00:30 is too gud😍😍😍;null;en;positive
54;Yadira Gimez;2018-08-10T13:44:29.000Z;Reply to Viviana Linethe Rodríguez;1;Viviana Linethe Rodríguez;null;en;neutral
55;vidasinvida666 vidasinvida666;2018-08-05T07:17:05.000Z;Reply to Viviana Linethe Rodríguez;1;Viviana Linethe Rodríguez gran tema;null;en;positive
56;leidy fiorela jaimes flores;2018-07-18T02:00:27.000Z;Comment;2;I love their songs, they are the best.;null;en
57;Sophie S;2018-07-17T18:54:55.000Z;Comment;2;Esta cancion, cambio mi vida..y me ayudo seguir adelante.. This song changed my life and helped me moved forward, not to mention cute Spanish guys! :);null;en;positive
58;Andrzej Czarnecki;2018-07-16T21:09:46.000Z;Comment;1;Great, congratulations!. Regards - Andrew, Poland;null;en;positive
59;Joada Mariette;2018-07-16T21:00:45.000Z;Comment;3;I love this song so much😍😭💖 even though I don't understand what are they saying😂🖤... it's just magic😿💕;null;en;positive
60;ela #libra;2018-07-13T07:41:27.000Z;Comment;2;Beautiful song,wonderful words, I understand it but sorry I'm not very good at write it.Love the singers ,,,,,Cheers for #NYC;#NYC;en;positive
61;Veronica Bottiglieri;2018-07-30T19:58:55.000Z;Reply to Veronica Bottiglieri;1;ANDY LOPEZ...✌️😊😉👍;null;en;neutral
62;خواطر مجنون;2018-07-06T12:59:43.000Z;Comment;1;روعة صوت ولا احلاه i love this  song it is amazing;null;en;positive
63;iHeartPandas 7;2018-07-03T15:59:52.000Z;Comment;0;When Sebastian dresses in neutral colors he kills it and then you turn around and his dress in some tacky looking floral mess lol 😂 but he makes it work. #lovehim;#lovehim;en;positive
64;kassycastilo;2018-06-29T00:57:54.000Z;Comment;6;I love this song;null;en;positive
65;Green Smoke;2018-06-24T03:43:25.000Z;Comment;0;LOVE LOVE LOVE THIS HOT HOT SONG !!!!😍😘🌡🔥🔥;null;en;positive
66;delfina garcia chavez;2018-06-20T01:04:04.000Z;Comment;0;from today on it is a song that touched my heart because afterwards he had to let it go and he never saw it but he will see it again 687,000,000 likes;null;en;positive
67;Kiki;2018-07-19T13:51:57.000Z;Reply to Kiki;0;ok then you'll be nr 2 :);null;en;neutral
68;Sara Shehaj;2018-07-19T11:06:01.000Z;Reply to Kiki;1;D'Alba25 I'm Albanian too, and I'm a big fan of David too. I love all his songs. Respect.;null;en;positive
69;Ira Mar;2018-06-16T10:24:57.000Z;Comment;0;23000 👎 🤔 Why?;null;en;negative
70;Jhon Henry;2018-06-12T02:33:50.000Z;Comment;0;the end ...  ( :;null;en;positive
71;Alejandra Quilo;2018-06-11T17:53:51.000Z;Comment;2;Hermosa cancion.....😘;null;en;positive
72;Carlos Enrique Araque Torrealba;2018-06-10T15:15:25.000Z;Comment;0;It is amazing the video (Follow Carlos Enrique Araque Torrealba on YouTube is new to this and needs our support. Those who read this please give him a like above if they will help him :) :) <3 :v;null;en;suggestion
73;Jonas Andriejunas;2018-06-04T15:33:39.000Z;Comment;3;I love this song;null;en;positive
74;Queen Of Pirate;2018-06-02T20:08:48.000Z;Comment;2;i have been listening to this song  today for 7 hours until now haha;null;en;positive
75;Lucia Otero;2018-06-01T12:53:36.000Z;Comment;1;hermosa cancion!! ❤;null;en;positive
76;Silvia Fernandez;2018-06-10T15:21:53.000Z;Reply to Theodora Smussu;0;Theodora Smussu ț;null;en;neutral
77;Andjela Jovanovic;2018-05-29T20:42:21.000Z;Comment;2;But the way he looks at her 1:57 😮💣;null;en;positive
78;Angela Flores;2018-05-29T20:04:23.000Z;Comment;0;Guys I swear I just got free $3651_real money from this_amazing website>>>>pypmon.win/?OZaRAp Try once.;null;en;neutral
79;TheEastLight.;2018-05-26T17:40:53.000Z;Comment;0;Your Music Is So Good.<3<3<3     The EastLight - Love Flutters (설레임) https://youtu.be/T3U2TqqT_GQ;null;en;neutral
80;cm park;2018-05-25T23:36:35.000Z;Comment;1;Yatra is a dude but Bisbal is a man. 😍both of them so hot;null;en;positive
81;Marco Cavazzoli;2018-05-23T18:49:40.000Z;Comment;1;We are waiting for the salsa version, please! 🙏;null;en;suggestion
82;Mariana Luna;2018-05-19T18:23:54.000Z;Comment;2;Hermosa cancion 😚😑😚;null;en;positive
83;Mariana Luna;2018-05-19T18:23:32.000Z;Comment;1;Hermosa cancion 😚😑😚;null;en;positive
84;CrazyFeelingsMusic;2018-05-19T06:56:09.000Z;Comment;1;#romania #deutschland love this song;#deutschland;en;positive
85;Yewsi;2018-05-17T18:16:27.000Z;Comment;0;What is the letter she's writing on the laptop?;null;en;neutral
86;Ester Soriano Torivio;2018-05-16T20:47:59.000Z;Comment;4;Hermosa cancion 💗💋 😍;null;en;positive
87;Esmira Huric;2018-05-14T23:13:26.000Z;Comment;0;Who are the assholes who disliked the song??;null;en;negative
88;Exo L;2018-05-13T20:06:45.000Z;Comment;3;This is so beautiful l I'm in love with them and their songs 😙😙😙😙💋💋💋👄🎶🎶🎵🎤🎺🎸🎻🎹;null;en;positive
89;nisa hafidzatul a;2018-05-13T16:43:17.000Z;Comment;1;OMG I love this song much! I'm your Indonesian fans😍;null;en;positive
90;Florentina Ioana Vasilescu;2018-05-12T18:40:52.000Z;Comment;0;You have such a good voice! Congrats for another amazing song. #Romania;#Romania;en;positive
91;Victor Garcia;2018-05-12T02:15:37.000Z;Comment;2;Que Linda  consong I loved it ♥ two thumbs 🆙;null;en;positive
92;Engaged With God;2018-05-10T20:11:09.000Z;Comment;18;The summer hit is ready😉;null;en;positive
93;Carmen Serban;2018-05-06T17:59:22.000Z;Comment;9;I like a lot this song!!!Amazing song and video....;null;en;positive
94;Adriano Soares;2018-05-03T22:45:02.000Z;Comment;0;1 min advertising in all videos? like ... i have to put the sound low and read some comments till that shit is over. F^ck ads on Youtube;null;en;negative
95;World Wide Music;2018-05-03T20:21:52.000Z;Comment;1;Despacito has 5B views and this has les than 100M...;null;en;negative
96;O_Tipă KRM;2018-05-03T16:21:38.000Z;Comment;3;I love this song! ❤;null;en;positive
97;Aisley Gomez;2018-05-02T17:36:29.000Z;Comment;2;very good duet. I loved the lyrics, the rhythm, the melody, even the video ...;null;en;positive
98;cris g;2018-04-30T19:17:24.000Z;Comment;2;Hermosa cancion ♥;null;en;positive
99;Lisa;2018-04-30T04:00:01.000Z;Comment;1;Congrats on this HIT David & Sebastian!!  Luv from Australia! Anyone from Aus watching?;null;en;positive
100;koroleva Flory000;2018-04-28T23:42:01.000Z;Reply to koroleva Flory000;0;I Love this song!!  You are the Best ❤;null;en;positive
101;Andrea Cici;2018-04-28T14:34:51.000Z;Comment;1;Minimum i hear this song 5times a day...;null;en;positive
102;Totonho 1234;2018-04-28T11:27:40.000Z;Comment;1;Muito top♥;null;en;positive
103;EasyEnglish TV;2018-04-28T04:27:39.000Z;Comment;71;We love that song!;null;en;positive
104;Carolina Gonzalez;2018-04-25T21:19:36.000Z;Comment;1;Khe hermosozz ,,;null;en;positive
105;Katarína Subová;2018-04-25T19:12:05.000Z;Comment;3;Congratulations, the best song ❤ Love it ❤ from Slovakia 🤗;null;en
106;Anchy Moon;2018-04-24T07:19:13.000Z;Comment;4;So so powerful! That passion woow . Gentlemens, thats amazing work !  It's really pleasure to hear you. That's such a great combination of voices . David is something new and incredibly powerfully completes Sebastian's macho voice. Muchas gracias ;) *XOXO* Greetings from Croatia !;null;en;positive
107;Yo Mismo;2018-04-24T01:29:10.000Z;Comment;1;Good thanks;null;en;positive
108;Texas Rig;2018-04-23T00:27:44.000Z;Comment;4;Although I can barely understand the lyrics I really do enjoy latin music;null;en;neutral
109;ignaciobis;2018-04-23T12:18:06.000Z;Reply to Texas Rig;2;The lyrics are very good too, look here :  https://youtu.be/tqYAfUD7mQs;null;en;positive
110;Konuray daloğlu;2018-04-19T00:46:27.000Z;Comment;0;İ don t understand anything but i loved it  amazing !;null;en;positive
111;Florida B;2018-04-18T15:20:59.000Z;Comment;3;Me encantaaa😍😍 im listening this song 24/7;null;en;positive
112;SANDU DOREL;2018-04-17T23:21:57.000Z;Comment;0;You are the best, you can....more. Waiting for more.;null;en;positive
113;Ibeth Ramos;2018-04-17T05:23:18.000Z;Comment;4;😍😍❤❤👏👏Hermosa cancion !!! ❤😍😢😢;null;en;positive
114;Maria Caamaño;2018-04-15T14:10:15.000Z;Comment;2;Hermosa cancion 😍💋💖;null;en;positive
115;3838 8888;2018-04-14T12:28:20.000Z;Comment;0;This song so good https://youtu.be/v1Bm_E-x-6A;null;en;negative
116;Grace guya;2018-04-11T16:28:54.000Z;Comment;6;I loved it from the first time I heard it.;null;en;positive
117;Elen Stepanyan;2018-04-10T18:14:13.000Z;Comment;2;Wow just amazing.This song is magicl.Bravooo;null;en;positive
118;Emil Atik;2018-04-08T17:11:22.000Z;Comment;7;Voice/musicwise:One of the best Spanish songs I ever heard, literally, a mix 90's,00's and 10's vibe at the same time over the song, especially David's utterly magnificent, unique, majestic, magical, refreshing and spectacular voice, that's for sure, especially love his pitch and those falsettos, indeeddd! Sebastian voice is decent, tho.. Greets from up north, 🇩🇰 ☺️ 😁 ✌️ 🤙 🤘 💪🔥 💎🔥 Lookwise: PS:Sebastian is decent, his look is decent too, not so much to find there, not as attractive and masculine appealing (besides his beard, otherwise not, he looks like a metro looking,homoerotic, bbysmooth and slender fuckboy, sorry but he does, generally ) like David, just realistically, honestly and constructively sayin'.. Lol.. 💎👍✌️;null;en;negative
119;Sorin Ratiu;2018-04-07T22:33:44.000Z;Comment;12;This song is the best I love this song;null;en;positive
120;Joanna Lima;2018-04-07T11:54:12.000Z;Comment;4;I love this song ♥♥♥♥;null;en;positive
121;Little bit of sun.;2018-04-07T11:48:27.000Z;Comment;3;I love this! ♥;null;en;positive
122;teresita páramo;2018-04-07T08:33:39.000Z;Comment;0;And company;null;en;neutral
123;Karla Garcia Pineda;2018-04-06T22:13:07.000Z;Comment;2;Hermosa cancion .;null;en;positive
124;Simona Afloarei;2018-04-06T20:25:54.000Z;Comment;3;nice music, let's get some likes from all over the world :);null;en;positive
125;Sandra Lux;2018-04-06T14:35:52.000Z;Comment;3;Hermosa cancion♥️ 👏🏻👏🏻;null;en;positive
126;Tiny Minds;2018-04-04T01:27:51.000Z;Comment;0;Who is the actress???;null;en;positive
127;Allison Rodriguez;2018-04-02T00:14:23.000Z;Comment;3;Hermosa cancion !!!!!!;null;en;positive
128;Reginald Tamsi;2018-04-01T17:19:10.000Z;Comment;6;I dont speak and understand spanish but i love listening to all of david bisbal’s, yatra’s and cali y el dandee’s songs all day. I have more latin/spanish/latam than english songs in my playlist now. I wanna know how to speak your language and to always feel the upbeat in your songs. From the philippines;null;en;positive
129;nawfel el bransi;2018-04-01T12:27:03.000Z;Reply to nawfel el bransi;0;thanks broo;null;en;neutral
130;John Michael None;2018-03-31T21:21:47.000Z;Comment;24;Música con clase y con la mejor voz en español....Bisbal the best.;null;en;positive
131;Kassandra Lum;2018-03-31T05:28:05.000Z;Comment;1;wow, this duo is amazing, this song just made my body get the chills of how amazing it sounds.;null;en;positive
132;Iblis;2018-03-28T00:11:53.000Z;Comment;0;found this through an ad. good song;null;en;positive
133;Hnoo alq;2018-03-27T17:25:29.000Z;Comment;1;I don’t understand Spanish but it’s areally good song :);null;en;positive
134;Hipino 1564;2018-03-27T15:51:45.000Z;Comment;0;Love this music...Sebastian yatra👑 una Rey con Bisbal 👑 te amo ..❤..🇹🇱;null;en;positive
135;lolathelilbeast;2018-03-27T09:45:09.000Z;Comment;3;David has such a beautiful voice! :) Enjoying this song in Croatia!;null;en;positive
136;Cristian Barbu;2018-03-26T15:15:43.000Z;Comment;0;Can anyone tell me the name of the girl?;null;en;positive
137;Cristian Barbu;2018-03-27T18:24:49.000Z;Reply to Cristian Barbu;0;that isn't she;null;en;negative
138;Crina Maria Parjol;2018-03-26T10:52:37.000Z;Comment;3;Superbă melodia David bisbal the best ❤😘;null;en;positive
139;KenNMarie Behil;2018-03-25T23:25:23.000Z;Comment;2;Buena Cancion! Repeat!!💝👠💃;null;en;positive
140;Igor Ribeiro;2018-03-25T09:11:26.000Z;Comment;2;Top🔝🔝;null;en;positive
141;vidasinvida666 vidasinvida666;2018-04-02T07:38:24.000Z;Reply to Thalia Cruz;0;Thalia Cruz grande bisbal;null;en;positive
142;Pamela Untuña;2018-03-23T23:23:27.000Z;Comment;5;Hermosa cancion... 💕;null;en;positive
143;chiquitita kary;2018-03-23T17:24:56.000Z;Comment;6;Hermosa cancion.. ❤❤😍;null;en;positive
144;Head of the gang;2018-03-23T16:18:05.000Z;Comment;0;like the musique you from Morocco;null;en;positive
145;Corey lol;2018-03-23T08:42:28.000Z;Comment;0;I'm not trying to hear this bullshit.  chupa mi huevos;null;en;negative
146;Francine Briones;2018-03-23T03:42:18.000Z;Comment;0;really need 2 use her like tht more respect its necessary...so fed up when men and woen r xposed like in yr video...ITS CALL NO CLASS N I DONT CARE HOE POPLR U OR THT VIDEO IS THERES NO CLASS ..THTS JUST TO MUSH REVELG THINK ABT THE YOUNG WOOMEN  AND BOYS OR U JUST DONT GV A CARE...JUST NO NEED 4 THT MUSH XPOSON;null;en;negative
147;Lostex FM;2018-03-22T23:22:18.000Z;Comment;1;love this song;null;en;positive
148;Rodrigo Reigada;2018-03-22T21:50:16.000Z;Comment;3;Top 👍👍👍;null;en;positive
149;דור ישראל יעקב;2018-03-22T18:03:17.000Z;Comment;0;The next despacito♥️♥️♥️♥️;null;en;positive
150;VERITY - Toys Kids Play;2018-03-22T11:19:12.000Z;Comment;1;🎶🎼🎵 I love this song  !!! I am a little girl 5 YO and  I hope you can visit my channel and sub🤗 kisses from Swiss. Do you like my last vid with "the weeknd" 🎶🎼🎵???  https://youtu.be/DfMQV0eqmkM .  welcome to our family ! Thank you for everything. Welcome to my channel VERITY Toys Kids Play >> #veritytoys 🎶🎼🎵🎶🎼🎵🎶🎼🎵🎶🎼🎵🎶🎼🎵🎶🎼🎵;#veritytoys;en;suggestion
151;Crazy Human Planet;2018-03-22T07:11:48.000Z;Comment;0;Why did you changed the thumbnail? Like if you also noticed;null;en
152;Crazy Human Planet;2018-03-22T08:17:27.000Z;Reply to Crazy Human Planet;0;ferrariportofino ferrariportofino  i wonder why did he changed the thumbnail. What do you think?;null;en;neutral
153;Victor Ortiz;2018-05-01T03:48:56.000Z;Reply to Enrique Cádiz;0;Thank;null;en;neutral
154;Magnetic Sniper;2018-03-22T02:32:28.000Z;Comment;10;I don't really speak Spanish, but the way they sing it makes me wanna listen to it over and over. It's a beautiful song.;null;en;positive
155;Lil Lila;2018-03-22T00:29:35.000Z;Comment;1;I love this song... Damn Damn;null;en;positive
156;Marleña Kowalewska;2018-03-21T20:04:01.000Z;Comment;53;I love this song 😍 Greetings from Poland 😘;null;en;positive
157;Jelena T;2018-03-21T18:14:57.000Z;Comment;6;I like this song.Amazing David.;null;en;power
158;Squall Leonhart;2018-03-21T09:34:35.000Z;Comment;9;I'm from Germany David is my Favorite singer can someone translate this for me in German please. This new song is amazing, love it;null;en;suggestion
159;flygirlbobo;2018-03-21T00:20:44.000Z;Comment;0;Am Kenyan, can’t understand the song but it calls to my core. Love it 🔥🔥🔥🔥🔥🔥🔥;null;en;positive
160;androides;2018-03-20T20:16:26.000Z;Comment;0;The earth is flat;null;en;neutral
161;vithurshan vithu;2018-03-20T18:24:02.000Z;Comment;5;I have no idea what language this is but love this song❤;null;en;positive
162;Mylany Mylany;2018-03-20T17:50:21.000Z;Comment;1;TOP💯🆒⬆️⬆️⬆️;null;en;positive
163;fan soolking;2018-03-20T16:28:08.000Z;Comment;0;Bedt rap in the word https://youtu.be/7dBLSEeA8H0;null;en;negative
164;KotaBro;2018-03-20T14:09:11.000Z;Comment;1;Haha that was great! I actually just started doing pranks/social experiments too. I hope I can be as good as you one day!;null;en;suggestion
165;joanne readman;2018-03-20T13:48:01.000Z;Comment;4;That voice <3;null;en;positive
166;Damian Tierno;2018-07-21T16:26:35.000Z;Reply to Angie Zepeda;0;Angie;null;en;neutral
167;Hassan Abida;2018-03-19T21:37:57.000Z;Comment;1;love this song for the first time respect from morocco north Africa;null;en;positive
168;Merve Balcı;2018-03-19T19:03:48.000Z;Comment;0;It sounds like there is some kind of doorbell ringing at the first few seconds of the video... am i right or not?;null;en;neutral
169;Mada Rusu;2018-03-23T07:51:33.000Z;Reply to Mada Rusu;0;Really Romania. Now is #23 in trending 😞😞😞;#23;en;positive
170;Alexandru Florea;2018-03-19T16:39:06.000Z;Comment;0;Earn FREE Bitcoins with GoogleChrome.Click on the Invitation link below. Good luck :) https://getcryptotab.com/237168;null;en;negative
171;rocker4577;2018-03-19T15:06:42.000Z;Comment;0;Hilariously cheesy, this is up there with Pitbull & Marc Antony 'Rain Over Me' for the most ridiculous music video & song of 2018.;null;en;negative
172;Atlas TV;2018-03-19T13:15:13.000Z;Comment;0;Is it a still image or the video is not working with me ?!;null;en;neutral
173;Crazy Human Planet;2018-03-19T11:16:50.000Z;Comment;1;Although i can't even understand a single word but this song has some  deep meaning that touched my heart!;null;en;positive
174;Eve Gandara;2018-03-19T05:47:08.000Z;Comment;0;Check us out this is our first hit trap & reggeaton🔥🔥https://youtu.be/Jp13kcaBRW4;null;en;suggestion
175;Jessica Paola Rojas Bedoya;2018-03-25T07:11:35.000Z;Reply to Jessica Paola Rojas Bedoya;0;J M total 👌;null;en;positive
176;Jorrit;2018-03-18T19:09:20.000Z;Comment;8;I love this song! Greets from The Netherlands!;null;en;positive
177;Paula Elena;2018-03-18T18:44:16.000Z;Comment;0;This song in trending #12 in Romania💙 It actually reminds me of my crush who is from Spain haha Such a good song tho❤;#12;en;positive
178;Zafè lakay TV;2018-03-18T17:48:35.000Z;Comment;0;This is haitian campas.;null;en;neutral
179;lehninger;2018-03-18T16:32:00.000Z;Comment;0;holy shit this is repetitive shit for retards.;null;en
180;Dani;2018-03-18T15:01:57.000Z;Comment;0;What? lol;null;en;joke
181;aSh OfficiAl;2018-03-18T14:21:49.000Z;Comment;7;2 days-9 million views 😍😍...Gonna be a hit this Song💘❤...;null;en;positive
182;Crazy Human Planet;2018-03-18T12:04:06.000Z;Comment;5;I am in love with latin music,people and their culture!;null;en;positive
183;The Real Shrek;2018-03-18T08:48:06.000Z;Comment;0;wtf is he on about;null;en;negative
184;Rizwan Martinz;2018-03-18T07:55:26.000Z;Comment;4;buena cancion david eres lo mejor the best singer;null;en;positive
185;Mr.47;2018-03-17T23:45:37.000Z;Comment;0;so, they go so crazy about her because she looks fertile??;null;en;negative
186;Fans De Maluma - Canal Oficial;2018-03-17T23:36:50.000Z;Reply to Marlon Rios;0;Exchange of subscriptions;null;en;neutral
187;Fans De Maluma - Canal Oficial;2018-03-17T23:36:59.000Z;Reply to Ainhoa.;0;Exchange of subscriptions;null;en;neutral
188;Fans De Maluma - Canal Oficial;2018-03-17T23:37:29.000Z;Reply to Celeste Ludmila;0;Exchange of subscriptions;null;en;neutral
189;Fans De Maluma - Canal Oficial;2018-03-17T23:37:38.000Z;Reply to ney que valga la pena;0;Exchange of subscriptions;null;en;neutral
190;Fans De Maluma - Canal Oficial;2018-03-17T23:37:50.000Z;Reply to Jei Jhona Oficial;0;Exchange of subscriptions;null;en;neutral
191;Dorin Popa;2018-05-07T20:08:40.000Z;Reply to Ángeles Yurena López Orts;0;It's cool!! 👋😊;null;en;positive
192;TheGhost123;2018-03-17T21:15:45.000Z;Comment;1;Am I the only one that noticed Sebastian’s big toe 😷;null;en;joke
193;Dawn MoonWolf;2018-03-17T20:41:10.000Z;Comment;0;omg, in love with this song!!;null;en;positive
194;aurelia nourah zi;2018-03-17T20:24:49.000Z;Comment;0;Amazing song. I can't stop listening to this music. greetings from a fan of Suriname south america;null;en;positive
195;Paweł Szczygieł;2018-03-17T20:03:41.000Z;Comment;0;Poland love this song ♡♡♡♡;null;en;positive
196;lau Baez;2018-03-17T16:29:23.000Z;Comment;0;Son re top;null;en;positive
197;APOCALYPSE Da20;2018-03-17T15:17:11.000Z;Comment;1;MUY TOP;null;en;positive
